Reference,Qty,Value,Footprint,Datasheet,DNP,Exclude from BOM,Exclude from Board,,,,
C1,1,220p,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,https://akizukidenshi.com/catalog/g/g108127/,,,,,,,
C2,1,2200p,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,https://akizukidenshi.com/catalog/g/g108134/,,,,,,,
C3,1,0.047u,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,https://akizukidenshi.com/catalog/g/g108142/,,,,,,,
"C7,C8",2,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,https://akizukidenshi.com/catalog/g/g113582/,,,,,,,
C4,1,10u,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,https://akizukidenshi.com/catalog/g/g104638/,,,,,,,
"C5,C6",2,220u,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,https://akizukidenshi.com/catalog/g/g110272/,,,,,,,
"BT1,BT2",2,3V,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,https://akizukidenshi.com/catalog/g/g101306/,,,,,,,
R13,1,33,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,https://akizukidenshi.com/catalog/g/g103941/,,,,,,,
R11,1,180,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,https://akizukidenshi.com/catalog/g/g125181/,,,,,,,
"R10,R15",2,360,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,https://www.marutsu.co.jp/pc/i/1186/?srsltid=AfmBOoqHdoNl9Wsjva4zWSjUA7FtUxKP5u62BUpRdLcbW-EviS7epbT3ZSg,,,,,,,
"R8,R9",2,470,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,https://akizukidenshi.com/catalog/g/g125471/,,,,,,,
"R2,R16",2,1k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,https://akizukidenshi.com/catalog/g/g125102/,,,,,,,
R7,1,1.2k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,https://akizukidenshi.com/catalog/g/g125122/,,,,,,,
"R5,R6",2,2k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,https://akizukidenshi.com/catalog/g/g125202/,,,,,,,
R1,1,6.8k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,https://akizukidenshi.com/catalog/g/g125682/,,,,,,,
R3,1,7.5k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,https://akizukidenshi.com/catalog/g/g125752/,,,,,,,
R14,1,10k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,https://akizukidenshi.com/catalog/g/g125103/,,,,,,,
"R4,R12",2,33k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,https://akizukidenshi.com/catalog/g/g125333/,,,,,,,
"Q10,Q11,Q12,Q13,Q14,Q15,Q16",7,2SA1015,Package_TO_SOT_THT:TO-92_Inline_Wide,https://akizukidenshi.com/catalog/g/g106735/,,,,,,,
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9",9,2SC1815,Package_TO_SOT_THT:TO-92_Inline_Wide,https://akizukidenshi.com/catalog/g/g106478/,,,,,,,
D1,1,LED,LED_THT:LED_D3.0mm,~,,,,,,,
"H1,H2,H3,H4",4,MountingHole,MountingHole:MountingHole_3.2mm_M3,~,,,"J2""",2,Screw_Terminal_01x02,TerminalBlock:TerminalBlock_bornier-2_P5.08mm,https://akizukidenshi.com/catalog/g/g101306/
SW1,1,SW_DPDT_x2,0my_project:2MD1-T2-B4-M2-Q-N,https://akizukidenshi.com/catalog/g/g100301/,,,,,,,
