Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT2",PinHeader_1x02_P2.54mm_Vertical,2,3V,
C1,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,220p,
C2,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,2200p,
C3,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,0.047u,
C4,CP_Radial_D8.0mm_P3.50mm,1,10u,
"C5, C6",CP_Radial_D6.3mm_P2.50mm,2,220u,
"C7, C8",C_Disc_D3.0mm_W1.6mm_P2.50mm,2,0.1u,
D1,LED_D3.0mm,1,LED,
"J1, J2",TerminalBlock_bornier-2_P5.08mm,2,Screw_Terminal_01x02,
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",TO-92_Inline_Wide,9,2SC1815,
"Q10, Q11, Q12, Q13, Q14, Q15, Q16",TO-92_Inline_Wide,7,2SA1015,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,6.8k,
"R10, R15",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,360,
R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,180,
"R12, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,33k,
R13,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,33,
R14,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10k,
"R16, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,1k,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,7.5k,
"R5, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,2k,
R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1.2k,
"R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,470,
SW1,2MD1-T2-B4-M2-Q-N,1,SW_DPDT_x2,
