Designator,Mid X,Mid Y,Rotation,Layer
BT1,144.78,-63.5,0.0,top
BT2,144.78,-55.88,0.0,top
C1,134.62,-97.79,90.0,top
C2,158.75,-96.52,90.0,top
C3,153.67,-80.01,90.0,top
C4,102.39,-60.96,180.0,top
C5,134.62,-66.06,90.0,top
C6,134.66,-55.9,90.0,top
C7,128.27,-55.9,270.0,top
C8,128.27,-66.02,270.0,top
D1,143.51,-72.39,180.0,top
J1,152.4,-107.95,0.0,top
J2,114.3,-58.42,0.0,top
Q1,87.63,-69.85,90.0,top
Q10,81.28,-93.98,90.0,top
Q11,91.44,-93.98,90.0,top
Q12,139.7,-107.95,180.0,top
Q13,142.24,-80.01,0.0,top
Q14,147.32,-97.79,90.0,top
Q15,127.0,-88.86,270.0,top
Q16,127.0,-97.79,180.0,top
Q2,100.33,-86.36,90.0,top
Q3,109.22,-86.36,90.0,top
Q4,129.54,-107.95,0.0,top
Q5,92.71,-110.49,270.0,top
Q6,134.62,-88.86,270.0,top
Q7,91.44,-83.82,90.0,top
Q8,81.28,-83.82,90.0,top
Q9,147.32,-87.63,90.0,top
R1,76.2,-66.04,270.0,top
R10,116.84,-107.95,180.0,top
R11,158.75,-82.55,90.0,top
R12,74.93,-99.06,270.0,top
R13,153.67,-93.98,90.0,top
R14,93.98,-66.04,270.0,top
R15,129.54,-80.01,0.0,top
R16,153.67,-72.39,0.0,top
R2,81.28,-66.04,90.0,top
R3,106.68,-80.01,180.0,top
R4,106.68,-72.39,0.0,top
R5,116.84,-87.63,270.0,top
R6,120.65,-87.63,270.0,top
R7,100.33,-97.79,270.0,top
R8,109.22,-97.79,270.0,top
R9,139.7,-96.52,90.0,top
SW1,154.94,-62.23,180.0,top
